Feature,main_status,release_jh_gomes_outreach_supabase_0fa25ae,pr3_integration_jh_gomes_release_candidate,release_forgeos_0_2_0_local_demo,other_sources,most_complete_implementation,validation_evidence,missing_work,merge_risk,recommended_source_of_truth
Cup sizes and materials,Absent,Present — cup-catalog in packages/cup-customizer,Present,Present,packages/cup-customizer/config/cup-catalog.ts,release/jh-gomes-outreach-supabase @ 0fa25ae,cup-catalog.test.ts,None,Low,release/jh-gomes-outreach-supabase @ 0fa25ae
180/360-degree printing options,Absent,Present — print-area config in cup-customizer package,Present,Present,packages/cup-customizer/config/print-area.ts,release/jh-gomes-outreach-supabase @ 0fa25ae,print-area.test.ts,None,Low,release/jh-gomes-outreach-supabase @ 0fa25ae
Product and inventory import,Absent,Partial — inventory-product module exists; dedicated import branch unmerged,Present — inventory in RC ancestry,Present,feat/jhgomes-product-data-staging; Forge-OS-inventory (dirty WIP),feat/jhgomes-product-data-staging + Forge-OS-inventory dirty worktree,Staging branch committed; inventory worktree has 9 dirty files,Private acceptance doc on 314f6fb,Inventory WIP uncommitted — DO NOT DELETE,Medium,Merge feat/jhgomes-product-data-staging then inventory WIP after backup
Authentication (Supabase),Absent,Partial — supabase migrations present; full auth activation not on release,Present — integration/jh-gomes-auth-activation merged into RC,Absent,integration/jh-gomes-auth-activation; feat/supabase-oauth-foundation,integration/jh-gomes-release-candidate (PR #3),PR #3 reports: db reset + test:supabase:integration pass,OAuth provider config external; not on 0fa25ae,High if merging RC over release without re-validating outreach,Cherry-pick auth from PR #3 RC into release branch — not wholesale RC replace
Supabase migrations,Absent,Present — supabase/migrations on release,Present — fuller migration set on RC,Present,integration/jh-gomes-outreach-supabase-7d2,integration/jh-gomes-release-candidate for auth upgrades; release for outreach tables,PR #3 migration reset pass,Align migration order between release and RC,High,Merge migration dirs feature-by-feature; test db reset after each
Tenant isolation,Absent,Partial — tenant scoping in outreach; membership API on 7d2 only,Present — auth membership enforcement,Partial,feat/email-outreach-send-jobs-7d2 @ ab5deaa,Split: release for outreach scope; 7d2 for membership API,7d2 commit ab5deaa docs,tenant-memberships route missing on 0fa25ae,Medium,Cherry-pick ab5deaa membership routes into release after outreach validation
Hosted campaign preparation (7D2),Absent,Absent — prepare-campaign routes missing,Present — send-jobs in RC ancestry,Absent,feat/email-outreach-send-jobs-7d2 @ ab5deaa,feat/email-outreach-send-jobs-7d2 @ ab5deaa,7d2 commit docs + route files,Not in 0fa25ae validated branch,Medium — parallel e2e changes may conflict,Cherry-pick ab5deaa onto release after 0fa25ae stabilization
Settings and branding,Absent,Present,e2e/profile-email-branding.spec.ts ancestry,Present,release branch,release/jh-gomes-outreach-supabase @ 0fa25ae,Profile/branding e2e,None,Low,release/jh-gomes-outreach-supabase @ 0fa25ae
Navigation and UI fixes,Absent,Present — dashboard compact + campaign shell,Present — table density in RC,Present — responsive demo fixes,fix/table-density-and-action-overlays,release/jh-gomes-outreach-supabase @ 0fa25ae for campaign; RC for table density,validate + campaign e2e on 0fa25ae,Table density fix not on release,Low,Campaign UI from release; table density from fix/table-density-and-action-overlays
Portuguese translations,Absent,Present — pt-PT campaign workflow strings (7cb4028),Present,Present,src/i18n/locales/pt-PT.ts on release,release/jh-gomes-outreach-supabase @ 0fa25ae,campaign-workflow i18n tests,None,Low,release/jh-gomes-outreach-supabase @ 0fa25ae
Campaign hydration-safe dates,Absent,Present — 0fa25ae explicit UTC formatting,Absent,Absent,N/A — introduced in 0fa25ae,release/jh-gomes-outreach-supabase @ 0fa25ae,0fa25ae fix; campaign e2e 11/11,None,Low,release/jh-gomes-outreach-supabase @ 0fa25ae
Campaign Playwright tests,Absent,Present — 11/11 reported on 0fa25ae,e2e specs present but pre-hydration-fix,Present — older test ids (08d6c58),e2e/campaign-*.spec.ts,release/jh-gomes-outreach-supabase @ 0fa25ae,11/11 campaign/outreach Playwright; validate pass,Re-run after any merge from RC or 7d2,Medium after merges,release/jh-gomes-outreach-supabase @ 0fa25ae
Acceptance tests,Absent,Present — e2e/acceptance/*,Present,Present,e2e/acceptance on release ancestry,release/jh-gomes-outreach-supabase @ 0fa25ae,validate includes acceptance on 0fa25ae,None known,Low,release/jh-gomes-outreach-supabase @ 0fa25ae
Agent orchestration and QA tooling,Absent,Present — agent scripts + maintenance policy,Present — repo hygiene docs in RC,Partial,agent/maintenance-policy.json; chore/repository-hygiene,integration/jh-gomes-release-candidate for hygiene docs,PR #3 CI Node 22 validation,Align Node 22 + lockfile from RC into release,Medium,Cherry-pick CI/tooling from PR #3; keep release as app source
CI and Node/package-lock fixes,Absent,Partial — 8d03ba2 lockfile reconcile on release,Present — Node 22 + cross-platform lockfile (PR #3),Partial — e6d523e on demo,integration/jh-gomes-release-candidate,f/integration/jh-gomes-release-candidate for CI; release for app,PR #3 Docker npm ci validation,RC Playwright pretest wrapper fixes not on release,Medium,Cherry-pick CI commits from RC; do not replace release branch
